C105

VEHICLE
NUMBER     CAPACITY
  25         60     1.0

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0       1236          0
   1      35         69         10        20        533         90
   2      25         85         20        617        756         90
   3      22         75         30         30        155         90
   4      22         85         10        541        646         90
   5      20         80         40        362        451         90
   6      20         85         40        448        555         90
   7      18         75         20         75        172         90
   8      15         75         20        142        291         90
   9      15         80         10        244        379         90
   10      10         35         20        181        256         90
   11      10         40         30         31        170         90
   12       8         40         40         52        193         90
   13       8         45         20        719        848         90
   14       5         35         10        252        375         90
   15       5         45         10        639        742         90
   16       2         40         20        357        460         90
   17       0         40         30        457        544         90
   18       0         45         20        538        653         90



  station 3  19.6250   80.0000
  station 4  5.3333   40.5556
