C106

VEHICLE
NUMBER     CAPACITY   SPEED  CHARGE_RATE  DEGRADATION_rate
  25         200       2.0    2          0.05

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0       1236          0
    1      45         68         10        70        120         0
    2      45         70         30        110        130         0
    3      42         66         10         55        156         0
    4      42         68         10        115        160         0
    5      42         65         10         15         60         0
    6      40         69         20        95        160        0
    7      40         66         20        120        223         0
    8      38         68         20        130        200         0
    9      38         70         10        98        120         0
   10      35         66         10        100        406         0
   11      35         69         10        90        120         0
   12      25         85         20        40        100         0

 station   1   40        50


